id,type,name,native,aliases,region,countries,from_year,to_year,living,period,form,materials,worn,against,restricted,confidence,needs_verification,updated,url,blurb
islamic-talismanic,tradition,Islamic talismanic craft,طِلَسْم,tilasm · ilm al-huruf · Islamic talismans · Qur'anic amulets,arabia-gulf levant anatolia iran-persia maghreb central-asia south-asia west-africa east-africa island-sea balkans,SA EG TR IR IQ SY MA OM PK IN BD AF ID MY SN ML AL,901,,True,Early Islamic to the present,packet,paper ink parchment silver lead leather cloth carnelian brass,neck upper-arm sewn-in pocket wall waist,evil-eye demons witchcraft illness war travel infertility,True,high,False,2026-09-17,https://nanobotco.github.io/amulet-atlas/tradition/islamic-talismanic/,"Writing, worn. The tradition makes protective objects out of text — Qur'anic verses, the ninety-nine names of God, names of angels and prophets, pious phrases, invocations — set on paper, parchment, metal, cloth or a…"
japanese-engimono,tradition,Engimono,縁起物,Japanese luck goods · shrine and temple charms · engi-mono,japan,JP,1336,,True,Medieval to the present,packet,paper wood cloth terracotta ink plastic,neck pocket phone wall vehicle shop door burnt,traffic exams bad-luck childbirth house poverty loneliness,False,high,False,2026-09-17,https://nanobotco.github.io/amulet-atlas/tradition/japanese-engimono/,"Objects bought at a shrine, a temple or a fair to bring a named good thing: a brocade pouch for traffic safety, a paper or wooden tablet for the household altar, a red papier-mâché doll with blank eyes, a ceramic cat…"
jewish-practical-kabbalah,tradition,Practical Kabbalah,קַבָּלָה מַעֲשִׂית,Kabbalah Ma'asit · Jewish amulet craft · kameot,levant western-europe baltic-slavic iberia maghreb mesopotamia diaspora,IL PS DE PL UA ES IT MA IQ IR GB US,200,,True,Talmudic to the present,plaque,parchment silver ink paper thread,neck door wall pocket wrist,demons illness evil-eye spirits,True,high,True,2026-09-17,https://nanobotco.github.io/amulet-atlas/tradition/jewish-practical-kabbalah/,"The branch of Jewish mysticism that makes things: amulets and incantations built from divine and angelic names, written on parchment or cut into silver, and carried, hung or worn."
korean-bujeok-craft,tradition,Bujeok craft,부적,pujŏk · Korean talismans · Musok amulet practice,korea,KR,1101,,True,Historically attested from the 12th century; still practised,folded-paper,paper ink,wall door pocket,bad-luck spirits house exams,True,medium,True,2026-09-17,https://nanobotco.github.io/amulet-atlas/tradition/korean-bujeok-craft/,"Talismans drawn by a mudang, the ritual specialists at the centre of Musok, Korean vernacular religion."
latin-american-folk-catholic,tradition,Latin American folk Catholic charm practice,,religiosidad popular · folk Catholicism of the Americas · Latin American popular devotion,mesoamerica caribbean andes southern-cone brazil iberia north-america,MX PR CU DO PE BO GT ES US PH,1521,,True,Colonial to the present,medal,silver gold lead jet seed wood glass thread paper,neck wrist vehicle wall pocket cradle shop,evil-eye child-harm illness traffic witchcraft bad-luck,False,high,False,2026-09-17,https://nanobotco.github.io/amulet-atlas/tradition/latin-american-folk-catholic/,"Catholic forms in lay hands, worked past the point the clergy sanctions."
maori-taonga,tradition,Taonga Māori,taonga,taonga · Māori treasures · taonga tūturu,aotearoa pacific,NZ,1750,,True,Pre-contact to the present,pendant,jade bone shell wood thread,neck ear chest,drowning infertility,True,high,False,2026-09-17,https://nanobotco.github.io/amulet-atlas/tradition/maori-taonga/,"Treasures with whakapapa. A hei-tiki, a hei matau, an adze reworked into a pendant, a cloak, a carving: Te Papa's own description of taonga Māori covers ancestral carvings, personal ornaments, garments and weaponry…"
mesopotamian-apotropaic,tradition,Mesopotamian household protection,,Mesopotamian apotropaic magic · Babylonian white magic · Assyrian household magic,mesopotamia levant iran-persia,IQ SY IR TR,-1999,-62,False,Old Babylonian to Seleucid,,,,child-harm childbirth demons fever house,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/tradition/mesopotamian-apotropaic/,"A craft with four moving parts: a demon with a name, a counter-power with a name, an incantation that addresses the demon directly, and a physical object — a plaque, a cast head, a figurine — placed where the danger…"
thai-wicha,tradition,Thai wicha,วิชา,Thai amulet craft · saiyasat · Thai protective craft,mainland-sea,TH KH LA MM,801,,True,Khmer Empire to the present,plaque,terracotta copper brass gold silver wood bone palm-leaf hair,neck chest waist skin vehicle shop wall,weapons witchcraft attraction poverty theft illness war,True,high,False,2026-09-17,https://nanobotco.github.io/amulet-atlas/tradition/thai-wicha/,"The taught craft behind Thailand's protective objects: the designs, the scripts, the incantations and the rules that go with them."
tibetan-protection,tradition,Tibetan protection craft,སྲུང་བ།,srung ba · Tibetan Buddhist amulet practice · Himalayan protective amulets,himalaya-tibet mongolia-steppe south-asia siberia-arctic,CN BT NP IN MN RU,755,,True,8th century to the present,,,,travel weapons illness demons the-dead,True,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/tradition/tibetan-protection/,"The protective end of Tibetan Buddhism: printed and drawn amulets consecrated by lamas, folded and bound in five-coloured cord, carried in worked-metal boxes at the neck or over the chest, hung on strings across passes…"
west-african-charm-craft,tradition,West African charm craft,bǒ,bo · gris-gris making · juju · marabout charms · Karamokobara,west-africa,BJ TG GH NG SN ML NE CM,1600,,True,documented from the era of European coastal trade; the practices are older,bag,cloth paper ink herb bone cowrie wood leather,neck pocket upper-arm door,bad-luck illness curse travel attraction lawsuit infertility,True,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/tradition/west-african-charm-craft/,"Not one practice but a shelf of them, made by different specialists for different clients across Benin, Togo, Ghana, Nigeria, Senegal, Mali, Niger and Cameroon: written Qur'anic charms sewn into cloth sacks; assembled…"
bell,motif,The bell,tintinnabulum,wind chime · brass bells · chime,rome-italy korea,IT KR,-99,,True,Roman Italy to the present,bell,copper,door lintel shop,spirits evil-eye spirits,False,medium,True,2026-09-17,https://nanobotco.github.io/amulet-atlas/sign/bell/,"A small bell, hung or carried, that sounds when the air or the body it is attached to moves."
coin-square,motif,The square hole,厭勝錢,yansheng coin · huaqian · flower coin · cash coin hole · round coin with a square hole,china japan korea mainland-sea island-sea diaspora,CN JP KR VN ID TW SG,-205,,True,Western Han to the present,coin,copper brass jade gold silver,neck waist wall roof door,spirits demons child-harm illness attraction exams,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/sign/coin-square/,"A round disc of copper alloy, brass or bronze with a square hole punched through the middle, the four sides of the hole framed by characters."
crescent,motif,The crescent,lunula,lunula · increscent · decrescent · star and crescent · sickle moon,rome-italy mesopotamia levant anatolia greece-aegean maghreb iran-persia arabia-gulf baltic-slavic,IT IQ SY TR GR TN DZ IR YE RU,-2299,,True,"Akkadian to Roman, and still current as an emblem",pendant,gold silver,neck,evil-eye demons witchcraft child-harm,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/sign/crescent/,"A moon with its middle cut out, two horns and a curved back, hung point-up at the neck. Roman ones are gold. Isidore of Seville defines them as female ornaments in the likeness of the moon, little hanging gold bullae."
cross,motif,The cross,crux,Latin cross · Greek cross · tau cross · saltire · crux ansata · Coptic cross · Agadez cross,rome-italy levant ancient-egypt east-africa britain-ireland west-africa western-europe mesoamerica latin-america,IT GR EG ET IE NE ES MX PH FR GB,101,,True,Upper Palaeolithic as a mark; from the 2nd century CE as a Christian emblem,pendant,silver gold wood thread copper,neck skin roof wall door,house bad-luck travel,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/sign/cross/,"Two lines crossing, usually at right angles. The variations are named and they matter: the †-shaped crux immissa, the T-shaped crux commissa or tau, the X-shaped crux decussata or saltire, the crux ansata with a loop on…"
divine-name,motif,The name,שדי,divine name · Shaddai · the 99 names · Ayat al-Kursi · Abraxas · fulu · talismanic script,levant mesopotamia maghreb arabia-gulf iran-persia china japan korea diaspora,IL PS EG SY IQ MA DZ TR IR SA PK CN JP KR,-699,,True,Iron Age to the present,scroll,parchment paper silver agate cloth,door lintel upper-arm head neck pocket wall,demons evil-eye travel witchcraft house illness,True,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/sign/divine-name/,"A name of God, or of an angel, or a string of characters that stands in for one, written on the object and doing the work. Sometimes it is legible and sometimes it is deliberately not."
eye,motif,The eye,,eye motif · apotropaic eye · eye-against-the-eye,world ancient-egypt greece-aegean anatolia levant south-asia mesoamerica west-africa,EG GR TR IT IL PS SY IR IQ IN PK MX BR GB AL GE AM MA TN,-2999,,True,Bronze Age to the present,bead,glass faience carnelian terracotta silver,neck wrist cradle door vehicle shop,evil-eye envy child-harm,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/sign/eye/,"An eye, drawn or moulded, worn where another person will see it."
fish,motif,The fish,ΙΧΘΥΣ,ichthys · ichthus · Jesus fish · fish charm · yu,levant anatolia rome-italy greece-aegean china aotearoa,TR IT GR SY IL CN NZ,101,,True,2nd century CE onward,pendant,copper silver stone,neck grave wall vehicle,child-harm the-dead,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/sign/fish/,"A fish in outline, usually two curved strokes crossing at the tail. In Christian use the Greek letters ΙΧΘΥΣ are sometimes written inside it. In China it is cast as a coin charm shaped like a fish and hung on a child."
fist,motif,The fig fist,,fig sign · mano fica · manus fica · manus obscena · higa · figa · cigua · kukish · shish · dulya,rome-italy greece-aegean iberia balkans baltic-slavic anatolia brazil diaspora,IT GR ES PT BR TR RU UA PL RS HR SI LT LV AM AZ MN ZA,-199,,True,Roman to the present,pendant,jet coral silver gold bone wood,neck cradle,evil-eye spirits child-harm bad-luck,False,high,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/sign/fist/,"A closed fist with the thumb pushed up between the index and middle fingers, carved or cast small and hung at the neck. In jet it is black and matte; in coral it is red; in silver it is the size of a thumb joint."
footprint,motif,The footprint,बुद्धपद,Buddhapada · Buddha footprint · Phra Phutthabat · Sri Pada,south-asia mainland-sea china japan island-sea,IN LK TH KH MM JP CN,,,True,pre-Greco-Buddhist India to the present,plaque,wood shell glass terracotta,wall shop,bad-luck bad-luck,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/sign/footprint/,"The print of a foot, or of two feet side by side, cut in stone or wood or painted."
hand,motif,The hand,,hand motif · apotropaic hand · khamsa hand · afus,maghreb levant mesopotamia iberia anatolia rome-italy ancient-egypt diaspora,MA DZ TN LY EG IL PS SY IQ TR ES IT GR,-799,,True,Iron Age to the present,pendant,silver gold brass jet glass terracotta,neck door wall wrist vehicle,evil-eye demons infertility child-harm,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/sign/hand/,"A human hand, cast or cut flat and hung where it can be seen. It comes in three postures this atlas keeps apart: the palm open with five fingers spread, the fist with the thumb pushed between two fingers, and two…"
horn,motif,The horn,cornicello,cornetto · corno · corno portafortuna · curniciello · Italian horn · mano cornuta,rome-italy diaspora,IT US AR AU,,,True,documented in modern southern Italy,horn,coral gold silver plastic bone terracotta,neck vehicle wall,evil-eye bad-luck infertility livestock child-harm,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/sign/horn/,"A single twisted horn, tapering to a point, hung at a neck or a rear-view mirror. Gold, silver, plastic, bone, terracotta, or the red coral that is the version Naples is known for. A few centimetres long."
key,motif,The key,,crossed keys · key of life · Legba's key,caribbean island-sea rome-italy ancient-egypt,HT PH IT EG,-2999,,True,Predynastic Egypt to the present,,,,spirits evil-eye,False,low,True,2026-09-17,https://nanobotco.github.io/amulet-atlas/sign/key/,"A key, drawn or hung. Nobody in this record carries one to open anything."
knot,motif,The knot,,knot motif · tyet · knot of Isis · girdle of Isis · sacral knot · tied thread,ancient-egypt greece-aegean britain-ireland balkans levant japan arabia-gulf,EG GR IE BG MK RO MD IL JP,-3099,,True,First Dynasty Egypt to the present,knot,thread cloth carnelian faience glass wood,neck wrist waist grave roof sewn-in,the-dead illness war house witchcraft,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/sign/knot/,"A tie, either made in cloth and thread or copied in stone and metal."
lion,motif,The lion,,lion head · leonine face · lioness · lion-headed god,ancient-egypt mesopotamia nubia-sudan iran-persia greece-aegean rome-italy,EG IQ IR SD GR IT,-2039,900,False,Middle Kingdom Egypt to the early Islamic period,pendant,terracotta copper agate glass,neck wall cradle grave,child-harm childbirth illness demons bad-luck,False,medium,True,2026-09-17,https://nanobotco.github.io/amulet-atlas/sign/lion/,"A lion's head on a human body, a lioness's paws on a hippopotamus, or a lion reared up on its hind legs."
magic-square,motif,The number square,وفق الأعداد,magic square · wafq · kamea · Luo Shu · Nine Halls · Chautisa Yantra · planetary square · bhadraganita,china south-asia mesopotamia iran-persia maghreb iberia west-africa western-europe japan,CN IN IQ IR DZ EG NG ES IT DE PL JP,-189,,True,Western Han China to the present,plaque,paper parchment silver copper cloth,neck upper-arm pocket sewn-in wall,childbirth infertility bad-luck evil-eye attraction,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/sign/magic-square/,"A grid of numbers in which every row, every column and both diagonals add to the same total. The order is the number of cells along a side; the total is the magic constant."
mirror-sign,motif,The mirror,八卦鏡,bagua mirror · pa kua mirror · toli · neker-toli · shaman's mirror,china mongolia-steppe siberia-arctic himalaya-tibet diaspora,CN HK TW MN RU SG MY,,,True,Taoist bronze mirrors to the present,mirror,copper brass glass steel,door wall neck chest,house spirits witchcraft,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/sign/mirror-sign/,"A disc of polished metal, worn or hung so it faces outward. Two well-documented kinds: the Chinese bagua mirror, octagonal or circular, with the eight trigrams ringed around a flat, convex or concave glass, fixed above…"
open-palm,motif,The open palm,خمسة,khamsa · khmisa · hand of Fatima · hand of Miriam · hand of Mary · afus · Mano Pantea,maghreb levant iberia anatolia diaspora,MA DZ TN LY EG IL PS SY TR ES,-799,,True,Iron Age to the present,pendant,silver gold brass glass,neck door wall vehicle,evil-eye infertility child-harm,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/sign/open-palm/,"A flat hand, palm forward, five fingers spread and usually symmetrical — the two outer fingers drawn as thumbs so the sign reads the same either way up. Cast in silver or brass, cut in gold, pressed in glass."
palindrome-word,motif,The word that reads both ways,,ABRACADABRA · abracadabra triangle · Sator Square · Rotas-Sator Square · Templar Magic Square,rome-italy levant maghreb britain-ireland western-europe nordic north-america brazil,IT SY EG GB FR DE PT HU SE IS US BR BA RS,50,,True,"Roman to the 19th century, and surviving as a stage word",scroll,parchment paper copper wood stone,neck wall door swallowed,fever illness fire childbirth animal-attack witchcraft,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/sign/palindrome-word/,"Writing arranged so its shape is part of the instruction. Two forms carry most of it. ABRACADABRA is written as a triangle, a letter dropped from each line, worn on parchment at the neck."
phallic-sign,motif,The phallus,fascinum,fascinus · fascinum · winged phallus · fist-and-phallus · palad khik,rome-italy britain-ireland maghreb greece-aegean mainland-sea,IT GB LY GR TH,,,True,"Roman Republic and Empire, and living in Thailand",pendant,copper bone wood terracotta,neck waist door vehicle,evil-eye envy child-harm house witchcraft,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/sign/phallic-sign/,"An erect phallus, modelled in bronze, bone or wood and worn, hung or fixed. Roman versions are frequently winged, and turn up as pendants, finger rings, relief carvings, lamps and wind chimes."
red-thread,motif,The red thread,חוט השני,red string · scarlet thread · kautuka · martenitsa thread · mărțișor,levant balkans south-asia china diaspora,IL BG MK RO MD AL GR IN CN US,1490,,True,late 15th century to the present,cord,thread cloth,wrist finger neck chest,evil-eye bad-luck illness house,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/sign/red-thread/,A length of red wool or silk tied round a wrist. In the Jewish folk custom it is thin scarlet wool worn as a bracelet or band.
scarab-sign,motif,The beetle,𓆣,scarab motif · dung beetle · kheper sign · Khepri,ancient-egypt levant nubia-sudan greece-aegean anatolia,EG SD IL PS LB SY JO GR TR IT,-2054,,True,Middle Kingdom to the Roman period and beyond,seal,faience carnelian agate gold glass,neck finger chest grave,the-dead illness,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/sign/scarab-sign/,"A dung beetle seen from above — head, wing case and legs indicated, the underside left flat so it can be engraved. Usually identified as Scarabaeus sacer."
serpent,motif,The serpent,,snake motif · cobra · uraeus · nāga · entwined snakes · rainbow serpent,ancient-egypt mesopotamia greece-aegean rome-italy south-asia mainland-sea west-africa mesoamerica caribbean china japan,EG IQ GR IT IN KH TH LA BJ MX GT HT CN JP KR AE,-2999,,True,Predynastic Egypt to the present,pendant,silver gold agate copper terracotta,neck finger door lintel head,snakebite spirits war illness livestock,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/sign/serpent/,"A snake, drawn coiled, reared, entwined in pairs, or hooded above a head."
spiral,motif,The spiral,,triskelion · triple spiral · spiral inscription · the coil,britain-ireland western-europe greece-aegean mesopotamia ancient-egypt caucasus,MT IE IM IT GR IQ SY EG RU,-4399,,True,Maltese Neolithic to the early Islamic period,bead,terracotta ink copper,foundation wall neck,demons evil-eye weapons,False,medium,True,2026-09-17,https://nanobotco.github.io/amulet-atlas/sign/spiral/,"A line that winds in on itself. It is cut into stone, painted on pottery, blazoned on a shield, and — once, and importantly — used as the direction in which to write, so that the words themselves coil inward."
swastika-sign,motif,The swastika,स्वस्तिक,svastika · sauvastika · manji · 卍 · 卐 · wanzi · yungdrung · arevakhach · nkontim · whirling log · tsin náálwołí · Naa Ukuryaa · Hakenkreuz · hooked cross · fylfot · gammadion,south-asia himalaya-tibet china japan korea mainland-sea island-sea east-africa west-africa north-america western-europe caucasus iran-persia,IN NP LK BT TH MM KH ID CN JP KR VN MN ET GH PA US AM IR BG UA ES DE AT AU,-9999,,True,Late Palaeolithic to the present,door-piece,earth paper wood cloth copper seed,door lintel wall roof skin neck,bad-luck attraction illness house,True,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/sign/swastika-sign/,"An equilateral cross with each arm bent at a right angle, so the figure has four-fold rotational symmetry and no mirror symmetry. It comes in two mirror forms: right-facing 卐 and left-facing 卍."
tooth-and-claw,motif,The tooth and the claw,,pierced tooth · animal tooth amulet · whale tooth · tabua · lei niho palaoa · wolf's tooth,western-europe rome-italy balkans pacific siberia-arctic north-america,FR IT GB AL FJ TO US GL CA,23,,True,Roman written record to the present,pendant,tooth bone gold hair shell coral wood,neck grave,child-harm illness evil-eye the-dead spirits,True,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/sign/tooth-and-claw/,"A tooth, a tusk or a claw, pierced or mounted and hung. Sometimes the animal part is left as it came off the animal; sometimes it is carved past recognition."
tree,motif,The tree,,sacred tree · portal tree · tree pillar · the tied tree,britain-ireland japan ancient-egypt mesopotamia caribbean west-africa south-asia,GB IE JP EG IQ HT BJ TG IN NP,-1549,,True,New Kingdom Egypt to the present,,,,witchcraft spirits bad-luck travel,False,medium,True,2026-09-17,https://nanobotco.github.io/amulet-atlas/sign/tree/,"A tree standing where it stands. This is the one sign in the atlas that is often not drawn at all: the mark is the tree, and what a reader would notice is not a carving but the things tied to it, planted beside it, or…"
amber,material,Amber,,succinite · Baltic amber · elektron · kahraba,baltic-slavic nordic rome-italy greece-aegean china western-europe,PL LT RU DE IT GR CN,-329,,True,classical antiquity to the present,,,,illness child-harm,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/material/amber/,"Fossilised tree resin. Baltic amber, succinite, is found as irregular nodules in a marine glauconitic sand called blue earth, in Upper Eocene strata of Sambia, and comes from conifers of the family Sciadopityaceae."
bone-ivory,material,Bone and ivory,,ivory · tusk · whale ivory · scrimshaw,ancient-egypt mainland-sea pacific siberia-arctic west-africa island-sea,EG TH US GL FJ CN GB ID,-4399,,True,Predynastic Egypt to the present,,,,weapons attraction spirits,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/material/bone-ivory/,"Two related things a charm gets cut from: bone, from any animal including a human one, and ivory, meaning tusk — from African and Asian elephants above all, and also from hippopotamus, walrus, narwhal and mammoth."
carnelian,material,Carnelian,,cornelian · sard · aqiq · 'aqiq,ancient-egypt mesopotamia south-asia greece-aegean rome-italy arabia-gulf balkans,BG PK IN IR IQ EG GR IT LK ID BR RU DE PE,-4499,,True,Chalcolithic to the present,,,,evil-eye infertility,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/material/carnelian/,"A brownish-red to orange chalcedony — silica, coloured by impurities of iron oxide — hard enough to take a polish and to hold a cut line."
cloth,material,Cloth,tılsımlı gömlek,flannel · brocade · linen · the bag · the shirt,anatolia iran-persia south-asia west-africa north-america japan himalaya-tibet western-europe,TR IR IN SN ML US JP CN FR DE CH IL,601,,True,Benedictine Europe to the present,bag,cloth thread paper,neck chest sewn-in pocket waist roof,weapons war evil-eye bad-luck illness,False,high,False,2026-09-17,https://nanobotco.github.io/amulet-atlas/material/cloth/,"Woven fibre doing three different jobs: a bag that holds a charm, a garment that is one, and a strip that records how many people worked on it."
copper,material,Copper and bronze,厭勝錢,bronze · brass · copper alloy · lamella,china west-africa anatolia mesopotamia ancient-egypt rome-italy western-europe,CN NE TR IQ EG IT GB US,-399,,True,Etruscan Italy and Han China to the present,coin,copper brass,neck pocket grave door vehicle,childbirth poverty the-dead evil-eye spirits,False,high,False,2026-09-17,https://nanobotco.github.io/amulet-atlas/material/copper/,"Copper and its alloys: bronze with tin, brass with zinc. It casts, it takes an inscription, it corrodes to a green skin and then stops, and it was cheap enough to make a charm by the thousand in places where silver was…"
coral,material,Red coral,珊瑚,precious coral · corallo,rome-italy china caribbean western-europe maghreb,IT CN PR DE CH GB,,,True,antiquity to the present,,,,evil-eye child-harm bad-luck,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/material/coral/,"The hard red skeleton of a colonial marine animal, cut and polished like a stone."
cowrie,material,Cowrie,कौड़ी,cowry · kaudi · buzios · miigis · money cowrie,west-africa south-asia china north-america brazil pacific ancient-egypt levant,MV IN LK NG BJ GH CA US BR FJ EG CN KE SL,-3999,,True,Predynastic Egypt to the present,,,,infertility bad-luck the-dead,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/material/cowrie/,"The shell of a sea snail of the family Cypraeidae: egg-shaped, glossy as glazed porcelain, with a long toothed slit down the flat underside. Species run from 5 mm to 19 cm."
faience,material,Faience,tjehenet,Egyptian faience · glazed composition · sintered quartz · glazed frit,ancient-egypt levant mesopotamia greece-aegean britain-ireland,EG IQ SY GR IT GB,-3999,,False,"Predynastic Egypt to the Roman period, and onward as Islamic stonepaste",,,,,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/material/faience/,"Crushed quartz or sand, a little lime and a mixture of alkalis, shaped and fired until a soda-lime-silica glaze forms on the surface, usually blue or green from copper."
glass,material,Glass,nazar boncuğu,eye bead · boncuk · glass paste,anatolia mesopotamia ancient-egypt greece-aegean rome-italy britain-ireland north-america,TR GR EG IQ IR IT TN LB GB US,-1599,,True,Late Bronze Age to the present,,,,evil-eye evil-eye infertility witchcraft,False,high,False,2026-09-17,https://nanobotco.github.io/amulet-atlas/material/glass/,"Silica melted, coloured through and worked hot. Glass does two things no other material in this atlas does at once: it holds a colour all the way through a bead the size of a fingernail, and it comes out of the ground…"
gold,material,Gold,,aurum,ancient-egypt mesopotamia rome-italy balkans britain-ireland china,BG EG IQ IT GB CN MX,-4999,,True,Chalcolithic to the present,,,,child-harm evil-eye illness,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/material/gold/,"A bright yellow metal, dense at 19.3 grams per cubic centimetre, soft, and so malleable that a single gram beats out into a sheet a metre square. It occurs native, usually in solid solution with silver."
hair,material,Hair,οὐσία,nail clippings · ousia · conjure hair,greece-aegean rome-italy britain-ireland western-europe north-america,GR IT GB BE US,-499,,True,Classical Greece to the present,,,,attraction witchcraft curse bad-luck,False,medium,True,2026-09-17,https://nanobotco.github.io/amulet-atlas/material/hair/,Hair cut from a named person and put inside something else. It is almost never the charm on its own.
herb,material,Herb and root,cima di ruta,rue · roots · simples · hierbas · goofer-root,rome-italy britain-ireland mesoamerica west-africa north-america arabia-gulf island-sea,IT GB MX SN US PH CD,,,True,documented from the nineteenth century; older in practice,bag,herb seed cloth paper,neck door hearth pocket swallowed,evil-eye evil-eye witchcraft illness bad-luck,False,high,False,2026-09-17,https://nanobotco.github.io/amulet-atlas/material/herb/,"Leaves, roots, bark, bulbs and dried fruit, used either as the charm itself or as the filling of one."
ink,material,Ink,لوح,erasure water · talismanic script · fulu ink · tattoo ink,west-africa arabia-gulf mesopotamia china japan anatolia south-asia mainland-sea,NG CM GH SN IQ IR SA CN JP TR IN TH,501,,True,Sasanian Mesopotamia to the present,scroll,ink paper wood parchment cloth,swallowed neck sewn-in wall,illness illness demons evil-eye spirits,False,high,False,2026-09-17,https://nanobotco.github.io/amulet-atlas/material/ink/,"Pigment suspended in a liquid: charcoal and water in West Africa, sometimes with saffron added, and driven under the skin elsewhere."
iron,material,Iron,,cold iron · meteoric iron · sky-iron · thogcha,britain-ireland western-europe nordic ancient-egypt anatolia himalaya-tibet island-sea,GB IE DK LT EE EG TR CN ID IN,-3499,,True,Predynastic Egypt to the present,,,,spirits witchcraft bad-luck evil-eye,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/material/iron/,"The commonest useful metal and the one that rusts. Because it corrodes so readily, ancient iron objects are far rarer in the ground than gold or silver ones — the survival order of the metals runs opposite to how common…"
jade,material,Jade,玉,nephrite · jadeite · fei cui · pounamu · greenstone,china mesoamerica aotearoa mainland-sea korea island-sea,CN MM GT MX NZ KR TW PH CA,-5999,,True,Neolithic China to the present,,,,illness the-dead weapons,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/material/jade/,"Two different rocks under one word. Nephrite is a felted mass of calcium-magnesium amphibole, slightly softer but very tough; jadeite is a sodium-aluminium pyroxene, harder, rarer, documented from fewer than a dozen…"
jet,material,Jet,,azabache · gagate · oltu stone · Whitby jet · lignite,britain-ireland iberia western-europe anatolia north-america,GB ES FR TR US DE,-9999,,True,Upper Palaeolithic to the present,,,,evil-eye snakebite child-harm,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/material/jet/,"Fossil wood. Jet is lignite, the lowest rank of coal, formed from wood under pressure — commonly from trees of the family Araucariaceae — and it is a mineraloid, not a mineral."
lead,material,Lead,tabella defixionis,lead sheet · lamella · defixio · katadesmos,greece-aegean rome-italy britain-ireland mainland-sea north-america,GR IT GB EG KH US,-499,,True,Classical Greece to the present,plaque,lead,grave wall neck,theft lawsuit attraction the-dead,False,high,False,2026-09-17,https://nanobotco.github.io/amulet-atlas/material/lead/,"A soft grey metal, cheap, heavy, and soft enough to scratch with a stylus and then fold in the hand. It is also poisonous, which is the whole of its modern story."
palm-leaf,material,Palm leaf,,tala patra · lontar · bai lan,south-asia mainland-sea island-sea himalaya-tibet,IN LK TH KH LA MM ID NP,-499,,True,5th century BCE to the present,,,,weapons attraction travel,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/material/palm-leaf/,"Leaves of the Palmyra or talipot palm, cooked, dried and smoke-treated until they take a line."
paper,material,Paper,,kamifuda · fu · bujeok · tarsh,japan china korea ancient-egypt west-africa north-america,JP CN KR EG ML GH US,901,,True,medieval Egypt to the present,,,,demons bad-luck evil-eye,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/material/paper/,"The cheapest surface a charm can be written on, and the one that lets a charm be printed. Paper amulets are issued, folded, sealed into cases, pasted to doors, swallowed, and burnt at the end of a year."
parchment,material,Parchment,קלף,klaf · vellum · hide,levant ancient-egypt himalaya-tibet diaspora,IL EG CN,300,,True,late antiquity to the present,,,,demons illness house,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/material/parchment/,"Animal skin, scraped, limed and dried until it will take ink and keep it."
